Country/Region,Confirmed,Deaths,Recovered,Mortality Rates
Afghanistan,237,4,5,0.016877637130801686
Albania,259,15,67,0.05791505791505792
Algeria,847,58,61,0.06847697756788666
Andorra,390,14,10,0.035897435897435895
Angola,8,2,1,0.25
Antigua and Barbuda,7,0,0,0.0
Argentina,1054,28,248,0.026565464895635674
Armenia,571,4,31,0.0070052539404553416
Australia,4862,20,422,0.004113533525298231
Austria,10711,146,1436,0.013630846793016524
Azerbaijan,359,5,26,0.013927576601671309
Bahamas,21,1,1,0.047619047619047616
Bahrain,569,4,337,0.007029876977152899
Bangladesh,54,6,25,0.1111111111111111
Barbados,34,0,0,0.0
Belarus,163,2,53,0.012269938650306749
Belgium,13964,828,2132,0.059295330850759095
Belize,3,0,0,0.0
Benin,13,0,1,0.0
Bhutan,4,0,0,0.0
Bolivia,115,7,1,0.06086956521739131
Bosnia and Herzegovina,459,13,19,0.02832244008714597
Botswana,4,1,0,0.25
Brazil,6836,240,127,0.03510825043885313
Brunei,131,1,52,0.007633587786259542
Bulgaria,422,10,20,0.023696682464454975
Burkina Faso,282,16,46,0.05673758865248227
Burma,15,1,0,0.06666666666666667
Burundi,2,0,0,0.0
Cabo Verde,6,1,0,0.16666666666666666
Cambodia,109,0,25,0.0
Cameroon,233,6,10,0.02575107296137339
Canada,9560,109,1324,0.011401673640167365
Central African Republic,3,0,0,0.0
Chad,7,0,0,0.0
Chile,3031,16,234,0.005278785879247773
China,82361,3316,76405,0.040261774383506754
Colombia,1065,17,39,0.01596244131455399
Congo (Brazzaville),19,0,0,0.0
Congo (Kinshasa),109,9,3,0.08256880733944955
Costa Rica,375,2,4,0.005333333333333333
Cote d'Ivoire,190,1,9,0.005263157894736842
Croatia,963,6,73,0.006230529595015576
Cuba,212,6,12,0.02830188679245283
Cyprus,320,9,28,0.028125
Czechia,3508,39,61,0.011117445838084378
Denmark,3290,104,971,0.031610942249240125
Diamond Princess,712,11,603,0.01544943820224719
Djibouti,33,0,0,0.0
Dominica,12,0,0,0.0
Dominican Republic,1284,57,9,0.04439252336448598
Ecuador,2748,93,58,0.03384279475982533
Egypt,779,52,179,0.06675224646983312
El Salvador,32,1,0,0.03125
Equatorial Guinea,15,0,1,0.0
Eritrea,15,0,0,0.0
Estonia,779,5,33,0.006418485237483954
Eswatini,9,0,0,0.0
Ethiopia,29,0,2,0.0
Fiji,5,0,0,0.0
Finland,1446,17,10,0.011756569847856155
France,57749,4043,11053,0.07000987030078443
Gabon,18,1,0,0.05555555555555555
Gambia,4,1,2,0.25
Georgia,117,0,23,0.0
Germany,77872,920,18700,0.011814259297308404
Ghana,195,5,31,0.02564102564102564
Greece,1415,50,52,0.0353356890459364
Grenada,9,0,0,0.0
Guatemala,39,1,12,0.02564102564102564
Guinea,30,0,0,0.0
Guinea-Bissau,9,0,0,0.0
Guyana,19,2,0,0.10526315789473684
Haiti,16,0,1,0.0
Holy See,6,0,0,0.0
Honduras,172,10,3,0.05813953488372093
Hungary,525,20,40,0.0380952380952381
Iceland,1220,2,225,0.001639344262295082
India,1998,58,148,0.02902902902902903
Indonesia,1677,157,103,0.0936195587358378
Iran,47593,3036,15473,0.06379089361880949
Iraq,728,52,182,0.07142857142857142
Ireland,3447,85,5,0.02465912387583406
Israel,6092,26,241,0.004267892317793828
Italy,110574,13155,16847,0.11897010147050843
Jamaica,44,3,2,0.06818181818181818
Japan,2178,57,472,0.026170798898071626
Jordan,278,5,36,0.017985611510791366
Kazakhstan,380,3,26,0.007894736842105263
Kenya,81,1,3,0.012345679012345678
"Korea, South",9887,165,5567,0.01668858096490341
Kosovo,125,1,10,0.008
Kuwait,317,0,80,0.0
Kyrgyzstan,111,0,3,0.0
Laos,10,0,0,0.0
Latvia,446,0,1,0.0
Lebanon,479,14,43,0.029227557411273485
Liberia,6,0,0,0.0
Libya,10,0,0,0.0
Liechtenstein,68,0,0,0.0
Lithuania,581,8,7,0.013769363166953529
Luxembourg,2319,29,80,0.01250539025442001
MS Zaandam,9,2,0,0.2222222222222222
Madagascar,57,0,0,0.0
Malaysia,2908,45,645,0.015474552957359009
Maldives,19,0,13,0.0
Mali,31,3,0,0.0967741935483871
Malta,188,0,2,0.0
Mauritania,6,1,2,0.16666666666666666
Mauritius,161,6,0,0.037267080745341616
Mexico,1215,29,35,0.023868312757201648
Moldova,423,5,23,0.01182033096926714
Monaco,55,1,2,0.01818181818181818
Mongolia,14,0,2,0.0
Montenegro,123,2,0,0.016260162601626018
Morocco,654,39,29,0.05963302752293578
Mozambique,10,0,0,0.0
Namibia,14,0,2,0.0
Nepal,5,0,1,0.0
Netherlands,13696,1175,260,0.08579147196261683
New Zealand,708,1,83,0.0014124293785310734
Nicaragua,5,1,0,0.2
Niger,74,5,0,0.06756756756756757
Nigeria,174,2,9,0.011494252873563218
North Macedonia,354,11,17,0.031073446327683617
Norway,4863,44,13,0.009047912811022003
Oman,210,1,34,0.004761904761904762
Pakistan,2118,27,94,0.012747875354107648
Panama,1181,30,9,0.02540220152413209
Papua New Guinea,1,0,0,0.0
Paraguay,69,3,1,0.043478260869565216
Peru,1323,38,394,0.02872260015117158
Philippines,2311,96,50,0.04154045867589788
Poland,2554,43,47,0.016836335160532498
Portugal,8251,187,43,0.02266391952490607
Qatar,835,2,71,0.0023952095808383233
Romania,2460,92,252,0.03739837398373984
Russia,2777,24,190,0.008642419877565718
Rwanda,82,0,0,0.0
Saint Kitts and Nevis,8,0,0,0.0
Saint Lucia,13,0,1,0.0
Saint Vincent and the Grenadines,1,0,1,0.0
San Marino,236,26,13,0.11016949152542373
Saudi Arabia,1720,16,264,0.009302325581395349
Senegal,190,1,45,0.005263157894736842
Serbia,1060,28,0,0.026415094339622643
Seychelles,10,0,0,0.0
Sierra Leone,2,0,0,0.0
Singapore,1000,3,245,0.003
Slovakia,400,1,3,0.0025
Slovenia,841,15,10,0.0178359096313912
Somalia,5,0,1,0.0
South Africa,1380,5,50,0.0036231884057971015
Spain,104118,9387,22647,0.09015732150060508
Sri Lanka,146,3,21,0.02054794520547945
Sudan,7,2,2,0.2857142857142857
Suriname,10,0,0,0.0
Sweden,4947,239,103,0.04831210834849404
Switzerland,17768,488,2967,0.027465105808194508
Syria,10,2,0,0.2
Taiwan*,329,5,39,0.015197568389057751
Tanzania,20,1,1,0.05
Thailand,1771,12,505,0.006775832862789385
Timor-Leste,1,0,0,0.0
Togo,36,2,10,0.05555555555555555
Trinidad and Tobago,90,5,1,0.05555555555555555
Tunisia,423,12,5,0.028368794326241134
Turkey,15679,277,333,0.017666943044837045
US,213372,4757,8474,0.02229439664060889
Uganda,44,0,0,0.0
Ukraine,794,20,13,0.02518891687657431
United Arab Emirates,814,8,61,0.009828009828009828
