Country/Region,Confirmed,Deaths,Recovered,Mortality Rates
Afghanistan,120,4,2,0.03333333333333333
Albania,212,10,33,0.04716981132075472
Algeria,511,31,31,0.060665362035225046
Andorra,334,6,1,0.017964071856287425
Angola,7,2,0,0.2857142857142857
Antigua and Barbuda,7,0,0,0.0
Argentina,745,19,72,0.025503355704697986
Armenia,424,3,30,0.007075471698113208
Australia,3984,16,244,0.004016064257028112
Austria,8788,86,479,0.00978607191624943
Azerbaijan,209,4,15,0.019138755980861243
Bahamas,11,0,1,0.0
Bahrain,499,4,272,0.008016032064128256
Bangladesh,48,5,15,0.10416666666666667
Barbados,33,0,0,0.0
Belarus,94,0,32,0.0
Belgium,10836,431,1359,0.039774824658545586
Belize,2,0,0,0.0
Benin,6,0,0,0.0
Bhutan,4,0,0,0.0
Bolivia,81,1,0,0.012345679012345678
Bosnia and Herzegovina,323,6,8,0.018575851393188854
Brazil,4256,136,6,0.03195488721804511
Brunei,126,1,34,0.007936507936507936
Bulgaria,346,8,14,0.023121387283236993
Burkina Faso,222,12,23,0.05405405405405406
Burma,10,0,0,0.0
Cabo Verde,6,1,0,0.16666666666666666
Cambodia,103,0,21,0.0
Cameroon,139,6,5,0.04316546762589928
Canada,6280,64,466,0.01019108280254777
Central African Republic,3,0,0,0.0
Chad,3,0,0,0.0
Chile,2139,7,75,0.0032725572697522207
China,82122,3304,75582,0.04023282433452668
Colombia,702,10,10,0.014245014245014245
Congo (Brazzaville),19,0,0,0.0
Congo (Kinshasa),65,6,2,0.09230769230769231
Costa Rica,314,2,3,0.006369426751592357
Cote d'Ivoire,165,1,4,0.006060606060606061
Croatia,713,6,52,0.008415147265077139
Cuba,139,3,4,0.02158273381294964
Cyprus,214,5,15,0.02336448598130841
Czechia,2817,16,11,0.0056798012069577564
Denmark,2564,72,73,0.028081123244929798
Diamond Princess,712,10,603,0.014044943820224719
Djibouti,18,0,0,0.0
Dominica,11,0,0,0.0
Dominican Republic,859,39,3,0.04540162980209546
Ecuador,1924,58,3,0.030145530145530147
Egypt,609,40,132,0.06568144499178982
El Salvador,24,0,0,0.0
Equatorial Guinea,12,0,0,0.0
Eritrea,12,0,0,0.0
Estonia,679,3,20,0.004418262150220913
Eswatini,9,0,0,0.0
Ethiopia,21,0,1,0.0
Fiji,5,0,0,0.0
Finland,1240,11,10,0.008870967741935484
