Country/Region,Confirmed,Deaths,Recovered,Mortality Rates
Afghanistan,170,4,2,0.023529411764705882
Albania,223,11,44,0.04932735426008968
Algeria,584,35,37,0.059931506849315065
Andorra,370,8,10,0.021621621621621623
Angola,7,2,0,0.2857142857142857
Antigua and Barbuda,7,0,0,0.0
Argentina,820,23,228,0.02804878048780488
Armenia,482,3,30,0.006224066390041493
Australia,4361,17,257,0.0038981884888786974
Austria,9618,108,636,0.011228945726762321
Azerbaijan,273,4,26,0.014652014652014652
Bahamas,14,0,1,0.0
Bahrain,515,4,279,0.007766990291262136
Bangladesh,49,5,19,0.10204081632653061
Barbados,33,0,0,0.0
Belarus,152,0,32,0.0
Belgium,11899,513,1527,0.043112866627447684
Belize,3,0,0,0.0
Benin,6,0,0,0.0
Bhutan,4,0,0,0.0
Bolivia,97,4,0,0.041237113402061855
Bosnia and Herzegovina,368,10,17,0.02717391304347826
Botswana,3,0,0,0.0
Brazil,4579,159,120,0.034723738807599915
Brunei,127,1,38,0.007874015748031496
Bulgaria,359,8,17,0.022284122562674095
Burkina Faso,246,12,31,0.04878048780487805
Burma,14,0,0,0.0
Cabo Verde,6,1,0,0.16666666666666666
Cambodia,107,0,21,0.0
Cameroon,139,6,5,0.04316546762589928
Canada,7398,80,466,0.010813733441470668
Central African Republic,3,0,0,0.0
Chad,5,0,0,0.0
Chile,2449,8,156,0.0032666394446712946
China,82198,3308,75923,0.040244288182194214
Colombia,798,12,15,0.015037593984962405
Congo (Brazzaville),19,0,0,0.0
Congo (Kinshasa),81,8,2,0.09876543209876543
Costa Rica,330,2,4,0.006060606060606061
Cote d'Ivoire,168,1,6,0.005952380952380952
Croatia,790,6,67,0.007594936708860759
Cuba,170,4,4,0.023529411764705882
Cyprus,230,7,22,0.030434782608695653
Czechia,3001,23,25,0.007664111962679107
Denmark,2755,77,73,0.0279491833030853
Diamond Princess,712,10,603,0.014044943820224719
Djibouti,18,0,0,0.0
Dominica,11,0,0,0.0
Dominican Republic,901,42,4,0.04661487236403995
Ecuador,1962,60,3,0.03058103975535168
Egypt,656,41,150,0.0625
El Salvador,30,0,0,0.0
Equatorial Guinea,12,0,0,0.0
Eritrea,12,0,0,0.0
Estonia,715,3,20,0.004195804195804196
Eswatini,9,0,0,0.0
Ethiopia,23,0,4,0.0
Fiji,5,0,0,0.0
Finland,1352,13,10,0.009615384615384616
France,45170,3030,7964,0.0670799203010848
Gabon,7,1,0,0.14285714285714285
Gambia,4,1,0,0.25
Georgia,103,0,20,0.0
Germany,66885,645,13500,0.009643417806683112
Ghana,152,5,2,0.03289473684210526
Greece,1212,43,52,0.03547854785478548
Grenada,9,0,0,0.0
Guatemala,36,1,10,0.027777777777777776
Guinea,22,0,0,0.0
Guinea-Bissau,8,0,0,0.0
Guyana,8,1,0,0.125
Haiti,15,0,1,0.0
Holy See,6,0,0,0.0
Honduras,139,7,3,0.050359712230215826
Hungary,447,15,34,0.03355704697986577
Iceland,1086,2,157,0.001841620626151013
India,1251,32,102,0.025579536370903277
Indonesia,1414,122,75,0.08628005657708628
Iran,41495,2757,13911,0.06644173996867092
Iraq,630,46,152,0.07301587301587302
Ireland,2910,54,5,0.018556701030927835
Israel,4695,16,161,0.0034078807241746537
Italy,101739,11591,14620,0.11392877854116908
Jamaica,36,1,2,0.027777777777777776
Japan,1866,54,424,0.028938906752411574
Jordan,268,5,26,0.018656716417910446
Kazakhstan,302,1,21,0.0033112582781456954
