Country/Region,Confirmed,Deaths,Recovered,Mortality Rates
Afghanistan,174,4,5,0.022988505747126436
Albania,243,15,52,0.06172839506172839
Algeria,716,44,46,0.061452513966480445
Andorra,376,12,10,0.031914893617021274
Angola,7,2,1,0.2857142857142857
Antigua and Barbuda,7,0,0,0.0
Argentina,1054,27,240,0.025616698292220113
Armenia,532,3,30,0.005639097744360902
Australia,4559,18,358,0.0039482342618995395
Austria,10180,128,1095,0.012573673870333988
Azerbaijan,298,5,26,0.016778523489932886
Bahamas,14,0,1,0.0
Bahrain,567,4,295,0.007054673721340388
Bangladesh,51,5,25,0.09803921568627451
Barbados,34,0,0,0.0
Belarus,152,1,47,0.006578947368421052
Belgium,12775,705,1696,0.05518590998043053
Belize,3,0,0,0.0
Benin,9,0,1,0.0
Bhutan,4,0,0,0.0
Bolivia,107,6,0,0.056074766355140186
Bosnia and Herzegovina,420,13,17,0.030952380952380953
Botswana,4,1,0,0.25
Brazil,5717,201,127,0.035158299807591394
Brunei,129,1,45,0.007751937984496124
Bulgaria,399,8,17,0.020050125313283207
Burkina Faso,261,14,32,0.05363984674329502
Burma,15,1,0,0.06666666666666667
Burundi,2,0,0,0.0
Cabo Verde,6,1,0,0.16666666666666666
Cambodia,109,0,23,0.0
Cameroon,193,6,5,0.031088082901554404
Canada,8527,101,1592,0.0118447285094406
Central African Republic,3,0,0,0.0
Chad,7,0,0,0.0
Chile,2738,12,156,0.004382761139517896
China,82279,3309,76206,0.040216823247730286
Colombia,906,16,31,0.017660044150110375
Congo (Brazzaville),19,0,0,0.0
Congo (Kinshasa),98,8,2,0.08163265306122448
Costa Rica,347,2,4,0.005763688760806916
Cote d'Ivoire,179,1,7,0.00558659217877095
Croatia,867,6,67,0.006920415224913495
Cuba,186,6,8,0.03225806451612903
Cyprus,262,8,23,0.030534351145038167
Czechia,3308,31,45,0.009371221281741234
Denmark,3039,90,77,0.029615004935834157
Diamond Princess,712,10,603,0.014044943820224719
Djibouti,30,0,0,0.0
Dominica,12,0,0,0.0
Dominican Republic,1109,51,5,0.045987376014427414
Ecuador,2240,75,54,0.033482142857142856
Egypt,710,46,157,0.0647887323943662
El Salvador,32,1,0,0.03125
